Key,Description,Standard,pt-br,uk,ru
SAY.Flowchart.121.Ellie,,"Like, how are these crimes committed so quietly? There’s literally no news about it!{wc}And where is my paycheck coming from?","Tipo, como esses crimes são cometidos tão silenciosamente? Não tem literalmente nenhuma notícia sobre eles!{wc}E de onde meu pagamento está vindo?",Цебто як ці злочини вчиняють настільки тихо? Немає від слова жодних новин про них!{wc}І звідки йде моя зарплата?,Как эти преступления совершаются так тихо? Об этом буквально нет никаких новостей!{wc}И откуда приходит моя зарплата?
SAY.Flowchart.162.Ellie,,"But I don’t really care too much, as long as I get the money!","Mas eu não me importo tanto assim, desde que eu seja paga!","Та мене це не надто хвилює, поки я отримую свої грошики!","Но меня это не слишком волнует, лишь бы деньги были!"
SAY.Flowchart.122.Ellie,,"{i}I walk into Cinnamon Hotel through its back door.{wc}I’ve never heard of this hotel before; it looks a bit run-down and shabby on the outside, just perfectly blending into the surrounding buildings.{wc}But the inside’s design is pretty modern, though rather empty.{wc}I slightly hope there’s something cinnamon-related while climbing the emergency stairs to the room Miss told me to meet at.","{i}Eu entro pela porta dos fundos do Hotel Canela.{wc}Eu nunca tinha ouvido falar desse hotel; por fora ele parece um pouco desgastado e decadente, harmonizando perfeitamente com os prédios ao redor dele.{wc}Mas por dentro tem um design moderno, embora esteja meio vazio.{wc}Eu tenho uma pequena esperança de que tenha algo relacionado à canela enquanto subo as escadas de emergência até a sala na qual Dona me disse para encontrá-la.","{i}Я заходжу в готель «Кориця» через чорний хід.{wc}Я ніколи не чула про нього; ззовні він має дещо зашкарублий вигляд, ідеально зливаючись із будинками довкола.{wc}Утім усередині він досить новий, та радше порожній.{wc}З невеликою надією на щось пов’язане з корицею, я підіймаюсь аварійними сходами до кімнати, в якій ми з Панною домовилися зустрітися.","{i}Я захожу в отель «Cinnamon» через черный вход.{wc}Никогда раньше не слышала об этом отеле; снаружи он выглядит немного обветшалым и потрёпанным, идеально сливаясь с окружающими зданиями.{wc}Но внутри дизайн довольно современный, хотя и довольно пустой.{wc}Слегка надеюсь, что тут есть что-то, связанное с корицей, пока поднимаюсь по запасной лестнице в номер, где мисс сказала меня ждать"
SAY.Flowchart.130.Miss,,Hey Ellie! How’s it going?,"E aí, Ellie! Como você está?","Гей, Еллі! Як справи?","Привет, Элли! Как дела?"
SAY.Flowchart.131.Ellie,,"Ahh, doing good! Just another day, you know?","Ahh, estou bem! Apenas mais um dia, sabe?","Ах, усе гаразд! Черговий день, знаєте.","Ааа, все хорошо! Просто еще один день, понимаете?"
SAY.Flowchart.132.Miss,,"Of course. {wi}We have a hotel room to clean today -- it’s a new experience for you, but I’m sure you will do great!{wc}I’m here if you need any help, though I’ll mainly be taking care of some other things for a bit or checking over the things you clean.{wc}Our client is pretty important, and we don’t want him to be dissatisfied.{wc}There’s a lot of things this time, not just broken glass!","Claro.{wi} Nós temos um quarto de hotel para arrumar hoje... é uma nova experiência para você, mas eu tenho certeza que você se sairá bem!{wc}Estou aqui se precisar de ajuda, embora eu esteja principalmente cuidando de outras coisas e, também, checando as coisas que você arrumar.{wc}Nosso cliente é muito importante, e não queremos que ele fique insatisfeito.{wc}Temos muitas coisas para arrumar dessa vez, não apenas vidro quebrado!","Авжеж. {wi}Сьогодні ми прибираємо готельний номер -- це новий для тебе досвід, та я впевнена, що ти добре впораєшся!{wc}Раптом що, звертайся до мене, хоча я переважно піклуватимуся про деякі інші речі або перевірятиму ті, які ти вже прибрала.{wc}Наш клієнт доволі важливий, і ми не хочемо його розчарувати.{wc}На цей раз буде побільше, ніж просто бите скло!","Конечно. {wi}Сегодня нам нужно убраться в одном из номеров отеля — это новый опыт для тебя, но я уверен, что ты справишься на ура!{wc}Я тут, если тебе нужна будет помощь, хотя в основном буду заниматься другими делами или проверять, как ты справляешься с уборкой.{wc}Наш клиент довольно важный, и мы не хотим, чтобы он остался недоволен.{wc}На этот раз работы много, не только разбитое стекло!"
SAY.Flowchart.133.Ellie,,OH MELON! {wi}Something new? {wi}Apart from fixing broken glass?,AH CÉUS! {wi}Algo novo? {wi}Além de reparar vidro quebrado?,Ой леле! {wi}Щось новеньке? {wi}Крім битого скла?,"О, дыня! {wi}Что-то новенькое? {wi}Кроме того, чтобы чинить разбитое стекло?"
SAY.Flowchart.134.Miss,,"Haha, yeah~! I know you’ll pick it up in a heartbeat, though.{wc}Do you have any questions?","Haha, sim~! Entretanto, eu sei que você pegará o jeito rapidamente.{wc}Alguma pergunta?","Ха-ха, так~! Я знаю, що ти з усім розберешся за мить.{wc}Маєш якісь запитання?","Ха-ха, да-да~! Я уверена, что ты быстро освоишься.{wc}Есть какие-нибудь вопросы?"
SAY.Flowchart.137.Miss,,"Mmm.. it’s hard to tell. All I can really say is that this is a bigger incident than anything we’ve done before.{wc}...My gut tells me that it is related to a smuggling issue, but I’m afraid I can’t confirm anything, dear.","Hum... é difícil dizer. O que eu posso dizer é que este é um incidente maior do que qualquer outro que já arrumamos.{wc}...Algo me diz que está relacionado com contrabando, embora eu não possa confirmar nada, querida.","М-м... складно сказати. Але можу сказати напевно, що цього разу ми маємо справу з чимось значно більшим.{wc}...Моя інтуїція підказує мені, що це щось пов’язане з контрабандою, але не ручаюся, люба","Ммм... трудно сказать. Всё, что я могу точно сказать, это что это инцидент гораздо серьёзнее, чем всё, что мы делали раньше.{wc}...Моя чуйка подсказывает, что это связано с контрабандой, но боюсь, я не могу ничего подтвердить, милая"
SAY.Flowchart.139.Ellie,,...!!{wc}WAA a smuggling issue? What kind? That sounds super dangerous..,"...!!{wc}QUÊE, contrabando? De que tipo? Isso parece muito perigoso...",...!!{wc}К-контрабанда? Яка саме? Звучить дуже небезпечно...,...!!{wc}Что? Контрабанда? Какого рода? Это звучит очень опасно...
SAY.Flowchart.140.Miss,,"Haha~, I wish I could answer your questions, sweetheart.{wc}Unfortunately, there’s nothing else I can say about the situation except that you’ll be safe.","Haha~, eu queria poder responder a todas as suas perguntas, meu bem.{wc}Infelizmente, não há nada mais que eu possa dizer a não ser, é claro, que você estará segura.","Ха-ха~, хотіла б я відповісти на твоє питання, дорогенька.{wc}На жаль, більше я нічого не можу сказати в цій ситуації, крім того, що ти в безпеці.","Ха-ха~, жаль, что не могу ответить на твои вопросы, милая.{wc}К сожалению, я не могу сказать ничего больше о ситуации, кроме того, что ты будешь в безопасности."
SAY.Flowchart.141.Ellie,,"Ahh, but how do you know I’ll be safe? What about you?{wc}Can you pleasee, pretty please let me in on some ~trade secrets~?","Ahh, mas como você sabe que estarei segura? E quanto a você?{wc}Você poderia, por favorzinho, me contar alguns ~segredos do ofício~?","Ах, але ж звідки Ви можете знати, що я в безпеці? Як щодо Вас?{wc}Не могли б Ви, будь ласонька, дуже-дуже прошу, посвяти мене в ~комерційну таємницю~?","Ах, но как ты знаешь, что я буду в безопасности? А что насчёт тебя?{wc}Пожалуйста, пожалуйста, поделись хоть парой торговых секретиков!"
SAY.Flowchart.142.Miss,,"Oh Ellie, you’re so cute~","Ah, Ellie, você é tão fofa~","Ой, Еллі, ти така миленька~","Ох, Элли, ты такая милая!"
SAY.Flowchart.168.Miss,,"I’m sorry though, no questions, remember?","Mas me desculpe, sem perguntas, lembra?","Але вибач, жодних питань, пам’ятаєш?","Прости, но никаких вопросов, помнишь?"
SAY.Flowchart.143.Ellie,,"Awww hmph, okay.","Awww humpf, tá bom.","Е-е-ех, мгм, гаразд.","Ааа, ладно."
MENU.Flowchart.146,,What's today's crime?,Qual o crime de hoje?,Який на цей раз злочин?,Какое сегодня преступление?
MENU.Flowchart.148,,Will today be hard?,Hoje vai ser difícil?,Сьогодні буде тяжко?,Будет ли сегодня тяжело?
MENU.Flowchart.164,,I'm ready to go!,Vamos começar!,Я готова розпочати!,Я готова к работе!
SAY.Flowchart.150.Miss,,"Let’s just say that there is a lot more work to do. But don’t worry, I’ll give you a raise.","Vamos apenas dizer que tem muito mais trabalho para fazermos. Mas não se preocupe, vou te dar um aumento.","Скажімо, сьогодні доведеться попрацювати набагато більше. Але не хвилюйся, я підвищу твою зарплатню.","Скажем так, работы еще очень много. Но не волнуйся, я повышу тебе зарплату."
SAY.Flowchart.151.Ellie,,!!!! $$???!?$>/?,!!!! $$???!?$>\?,!!!! $$???!?$>/?,!!!! $$???!?$>/?
SAY.Flowchart.152.Ellie,,"{i}(Aaahh! If I get paid $1,500 normally, I can only imagine how much a raise will be!!){wc}(I’m gonna be RICHH $$$!)","{i}(Aaahh! Se recebo 7 mil reais normalmente, imagino quanto ganharei com um aumento!!){wc}(Serei RICA $$$!)","{i}(А-ах! Якщо я звичайно отримую $1500, уявіть, скільки я зароблятиму з підвищенням!!!){wc}(Я стану заможненькою паняночкою$$$!)","{i}(Аах! Если я обычно получаю $1500, то только представь, какое будет повышение!!) {wc}(Я стану ОЧЕНЬ обеспеченной $$$!)"
SAY.Flowchart.153.Ellie,,"Hehe, I bet this work will be nothing that we can’t do together!","Hehe, Aposto que este trabalho não será nada que não possamos fazer juntas!","Хе-хе, упевнена, ця роботонька не стане нам на заваді!","Хе-хе, уверена, эта работа будет ничем, с чем мы не справимся вместе!"
SAY.Flowchart.154.Miss,,That’s a given.,Isso é certo.,Ніде правди діти.,"
Ну, конечно!"
SAY.Flowchart.159.Miss,,Alright! Let’s make it a good one!,Tá bem! Vamos fazer um bom trabalho!,"Добре, зробімо це!",Давай сделаем это на высшем уровне!
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли
CHARACTER.Miss,,Miss,Dona,Панна,Мисс
