Key,Description,Standard,pt-br,uk,ru,zh-TW,fr
SAY.Flowchart.11.Ellie,,"{i}(Oh... did someone... no, it doesn’t seem like it...){wc}(I wanna get out of here...)","{i}(Ah... será que alguém... não, não parece ser...){wc}(Eu tenho que sair daqui...)","{i}(Ой... тут хтось... ні, навряд чи...){wc}(Я хочу втекти звідси...)","{i}(О... кто-то... нет, похоже, нет...) {/i} {wc}(Хочу выбраться отсюда...)",{i}（歐是不是有人......等等，看來不是。）{wc}（我真的不想繼續待在這了。）,"{i}(Oh… est-ce que quelqu’un… non, ça n’en pas a pas l’air...){wc}(J’ai envie de sortir de là…)"
SAY.Flowchart.13.Ellie,,"{i}(Some of the clothes are so small. Like something I’d wear when I was eight or something. Oh, why does time pass so fast..)","{i}(Algumas peças de roupa são muito pequenas, como algo que eu usaria quando tinha oito anos ou algo assim. Ah, por que o tempo passa tão rápido...)","{i}(Деякі речі дуже малі. Такі, які я могла носити десь у вісім рочків. Ох, час спливає, як вода...)","{i}(Некоторые вещи такие маленькие. Как что-то, что я носил(а), когда мне было восемь. Ох, почему время так быстро летит...)",{i}（這裡的衣服真的好小啊！感覺是我八歲時會穿的那種衣服。啊～為什麼時間總是過這麼快～）,"{i}(Certains vêtements sont si petits. Comme ceux que je portais quand j’avais huit ans environ. Oh, pourquoi le temps passe si vite..)"
SAY.Flowchart.29.Ellie,,I feel like I’m cleaning a lot of beds recently.{wc}Maybe I’ll be the bed cleaning expert instead of the glass cleaning expert.,Eu sinto que estou arrumando muitas camas recentemente.{wc}Talvez eu me torne especialista em arrumar camas ao invés de especialista em reparar vidros.,"Мені здається, віднедавна я  встигла прибрати так багато ліжок.{wc}Можливо, я все-таки стану експерткою з ліжок, а не зі скла.","Кажется, я последнее время много кроватей убираю. {wc} Может, я стану экспертом по чистке кроватей, а не окон.",我覺得最近越來越常整理床舖了。{wc}感覺自己又在清理的科技樹上點出「床舖整理技術」這門技術。,J’ai l’impression de nettoyer beaucoup de lits récemment.{wc}Peut-être que je vais être l’experte du nettoyage de lit au lieu de l’expert du nettoyage de verre.
SAY.Flowchart.68.Miss,,"You have the skills to clean any mess, there’s no need for you to limit yourself to just one type.","Você possui habilidade para limpar qualquer bagunça, não há necessidade de limitar-se apenas a um tipo.","Ти маєш здібності в прибиранні різного характеру, дарма обмежувати себе лише в одному.","У тебя есть все навыки, чтобы справиться с любой уборкой, не стоит ограничиваться только одним типом.",妳的清理功夫不能只專精於一種歐！因為妳的潛能告訴我妳將能夠清理任何髒污！,"Vous avez les compétences de nettoyer n’importe quel bazar, il n’y a pas besoin de vous limiter à juste un type."
SAY.Flowchart.69.Ellie,,{i}(Ah... Miss is so nice!),{i}(Ah... a Dona é tão legal!),{i}(Ах... Панна така добра!),{i}(Ах... Мисс такая милая!),{i}（啊！小姐真是親切！）,{i}(Ah… Miss est si gentile !)
SAY.Flowchart.71.Ellie,,"{i}(Urk... is this blood? I feel a little queasy..){wc}(No, no, I’m sure it’s not blood, I’m just overthinking again. It’s okay.)","{i}(Eca... isso é sangue? Me sinto um pouco enjoada..){wc}(Não, não, estou certa de que não é sangue, só estou me preocupando demais. Tá tudo bem.)","{i}(У-у... це кров? Мене трішки нудить..){wc}(Ні-ні, я впевнена, що це не кров, -- я просто знову надумую. Все в порядку.)","{i}(Урк... это кровь? Меня немного мутит...) {/i} {wc}(Нет, нет, это точно не кровь, я просто снова все накручиваю. Все в порядке.)",{i}（痾這是血嗎？我感到有點不適）{wc}（哈......這一定又是我在胡思亂想啊！不用擔心啦！）,"{i}(Beurk… c’est du sang ? Je me sens un peu nauséeuse..){wc}(Non, non, je suis sûre que ce n’est pas du sang, je réfléchis trop encore une fois. Tout va bien.)"
SAY.Flowchart.81.Ellie,,{i}(This reminds me of my childhood.),{i}(Isso me lembra minha infância.),{i}(Це нагадує мені про моє дитинство.),{i}(Это напоминает мне мое детство.),{i}（這讓我想起了自己的童年。）,{i}(Ça me rappelle mon enfance.)
SAY.Flowchart.87.Ellie,,"I kinda wanna use this fan... it’s a little hot... Miss, do you mind if I turn it on?","Eu meio que quero usar esse ventilador... tá um pouco calor... Dona, você se importa se eu ligá-lo?","Хотіла би я ввімкнути цей вентилятор... трошки душно... Панно, Ви не проти, якщо я його ввімкну?","Я как-то хочу включить этот вентилятор... немного жарко... Мисс, не против, если я его включу?",這裡真的有點熱欸，我可以打開那台電風扇嗎？,"En vrai, j’ai envie d’utiliser ce ventilateur… il fait un peu chaud… Miss, ça vous dérange si je l’allume ?"
SAY.Flowchart.88.Miss,,"Huh? Oh, the fan?{wc}I don’t think it works very well, it seems like it’d be quite loud. But turn it on if you wish.","Hã? Ah, o ventilador?{wc}Eu não acho que ele funcione bem, parece que seria um pouco barulhento. Mas ligue-o, se desejar.","Га? А, вентилятор?{wc}Не думаю, що він справний, гадаю, від нього буде багато шуму. Але вмикай, якщо хочеш.","А? О, вентилятор? {wc}Не думаю, что он работает очень хорошо, кажется, он будет довольно громким. Но если хочешь, включай.",妳是指那台電風扇？{wc}我在猜那破東西不太能用，而且感覺會還蠻大聲的。但妳也可以打開看看。,"Hein ? Oh, le ventilateur ?{wc}Je ne pense pas qu’il marche très bien, on dirait qu’il est très bruyant. Mais allumez le si vous le souhaitez."
SAY.Flowchart.89.Ellie,,{i}I turn on the fan.,{i}Eu ligo o ventilador.,{i}Я ввімкнула вентилятор.,{i}Я включаю вентилятор.,{i}我打開了電風扇。,{i}J’allume le ventilateur.
SAY.Flowchart.97.Ellie,,"{i}In a second, the room is filled with clanking and screeching of metal and plastic. It feels like a few screws would fall off if I left it on for a second longer.{wc}I hurriedly turn it back off.","{i}Em um instante, a sala é infestada com o barulho de metal e plástico rangendo e batendo. Parece que alguns parafusos sairiam voando se eu o deixasse ligado por mais um segundo.{wc}Eu me apressei para desligá-lo.","{i}Умить скрегіт та брязкіт наповнили кімнату. Здається, ось-ось всі його гвинтики розкрутяться.{wc}Я поспішила вимкнути його.","{i}Через секунду комната наполняется звуками скрежета металла и пластика. Кажется, что если я оставлю его включенным еще на секунду, несколько винтов могут отпасть. {/i} {wc}Я спешно выключаю его обратно.",{i}房間轉瞬間充滿了金屬與塑膠的敲打以及摩擦聲。要是在放個幾秒風扇內的螺絲大概就會鬆脫吧？{wc}我迅速地把風扇插頭拔掉。,"{i}En une seconde, la pièce est remplie de métal et de plastique qui cliquettent et crissent. C’est comme si quelques vis allaient en tomber si je le laissais allumer une seconde de plus.{wc}Je l’éteins rapidement."
SAY.Flowchart.91.Ellie,,{i}(Miss was right... I should just listen to her next time.),{i}(Dona estava certa... eu devo dar ouvidos a ela na próxima vez.),{i}(Панна була права... Варто до неї прислухатися наступного разу.),{i}(Мисс была права... В следующий раз просто послушаю её.),{i}（小姐是對的，我應該好好聽她的指令才對。）,{i}(Miss avait raison… Je devrais juste l’écouter la prochaine fois.)
SAY.Flowchart.98.Ellie,,"{i}(No wind for today, I guess... how is it so hot and humid at 2 AM?)","{i}(Sem vento hoje, eu acho... como está tão quente e húmido às 2 da manhã?)","{i}(Здається, сьогодні без вітру... Як може бути настільки спекотно й вогко о 2 ночі?)","{i}Наверное, сегодня без ветра... как так получилось, что так жарко и влажно в 2 ночи?",{i}（今天無風吧？為什麼下午兩點了天氣還這麼溼熱？）,"{i}(Pas de vent pour aujourd’hui, je suppose… comment peut-il faire si chaud et humide à deux heures du matin ?)"
CHARACTER.Ellie,,Ellie,Ellie,Еллі,Элли,艾莉,Ellie
CHARACTER.Miss,,Miss,Dona,Панна,Мисс,小姐,Miss
